,_links,age_classification,age_scale,archive,attributes,bif_ampl_local,bif_ampl_remote,brain_region,branch_order,cell_type,contraction,corrected_value,corrected_xy,corrected_z,deposition_date,depth,diameter,domain,eucdistance,experiment_condition,fractal_dim,fragmentation,gender,height,length,magnification,max_age,max_weight,min_age,min_weight,n_bifs,n_branch,n_stems,neuron_id,neuron_name,note,objective_type,original_format,partition_asymmetry,pathdistance,physical_Integrity,pk_classic,png_url,protocol,reconstruction_software,reference_doi,reference_pmid,reported_value,reported_xy,reported_z,scientific_name,shrinkage_corrected,shrinkage_reported,slicing_direction,slicing_thickness,soma_surface,species,stain,strain,surface,upload_date,volume,width
10,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102560'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102560'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102560'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",75.2805,58.4139,"['neocortex', 'occipital', 'middle temporal gyrus', 'layer 2-3', 'right']",15.0,"['principal cell', 'Spiny']",0.92185,,,,2019-02-02,130.71,0.445914,"Dendrites, Soma, Axon",850.955,['Control'],1.02033,25935.0,Female,1134.29,30299.1,63,33.0,Not Reported,33.0,Not Reported,132.0,272.0,8.0,102560,H16-03-006-01-03-04_718251763_m,,oil,Vaa3D.swc,0.513912,1194.07,"Dendrites Complete, Axon Incomplete",1.92352,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-03-006-01-03-04_718251763_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,616.391,human,biocytin,Not applicable,42467.9,2019-04-08,6182.15,787.28
11,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102561'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102561'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102561'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",82.6786,73.2635,"['neocortex', 'occipital', 'middle temporal gyrus', 'layer 2-3', 'right']",15.0,"['principal cell', 'Spiny']",0.880814,,,,2019-02-02,90.79,0.354349,"Dendrites, Soma, Axon",1015.45,['Control'],1.03428,25937.0,Female,1227.48,29559.3,63,33.0,Not Reported,33.0,Not Reported,147.0,303.0,9.0,102561,H16-03-006-01-04-01_694587412_m,,oil,Vaa3D.swc,0.464864,1330.99,"Dendrites Complete, Axon Incomplete",1.98146,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-03-006-01-04-01_694587412_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,570.727,human,biocytin,Not applicable,33180.6,2019-04-08,3723.34,949.804
12,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102562'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102562'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102562'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",74.9436,56.4384,"['neocortex', 'occipital', 'middle temporal gyrus', 'layer 2-3', 'right']",18.0,"['principal cell', 'Spiny']",0.893463,,,,2019-02-02,111.94,0.645168,"Dendrites, Soma, Axon",798.075,['Control'],1.03425,15473.0,Male,1136.9,34153.5,63,48.0,Not Reported,48.0,Not Reported,168.0,344.0,8.0,102562,H16-03-010-13-05-03_712796148_m,,oil,Vaa3D.swc,0.383467,2079.93,"Dendrites Complete, Axon Incomplete",2.0,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-03-010-13-05-03_712796148_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,1263.81,human,biocytin,Not applicable,68757.3,2019-04-08,17826.3,798.09
13,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102563'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102563'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102563'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",90.4427,85.7117,"['neocortex', 'occipital', 'middle temporal gyrus', 'layer 2-3', 'right']",21.0,"['principal cell', 'Spiny']",0.87529,,,,2019-02-02,171.57,0.437772,"Dendrites, Soma, Axon",1280.98,['Control'],1.03004,31483.0,Male,1929.27,37496.6,63,37.0,Not Reported,37.0,Not Reported,205.0,416.0,6.0,102563,H16-06-004-01-03-05_546790847_m,,oil,Vaa3D.swc,0.575891,1513.92,"Dendrites Incomplete, Axon Incomplete",1.7059,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-06-004-01-03-05_546790847_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,911.458,human,biocytin,Not applicable,51610.7,2019-04-08,9677.43,575.279
14,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102564'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102564'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102564'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",82.8391,60.3507,"['neocortex', 'occipital', 'middle temporal gyrus', 'layer 2-3', 'right']",11.0,"['principal cell', 'Spiny']",0.866443,,,,2019-02-02,136.33,0.435085,"Dendrites, Soma, Axon",923.367,['Control'],1.03885,28495.0,Male,1326.01,32611.2,63,42.0,Not Reported,42.0,Not Reported,144.0,294.0,6.0,102564,H16-06-006-01-04-01_716317425_m,,oil,Vaa3D.swc,0.393034,1148.2,"Dendrites Complete, Axon Incomplete",1.94897,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-06-006-01-04-01_716317425_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,1076.44,human,biocytin,Not applicable,44684.6,2019-04-08,7510.81,1139.29
15,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102565'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102565'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102565'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",71.8622,54.8475,"['neocortex', 'occipital', 'middle temporal gyrus', 'layer 2-3', 'right']",16.0,"['principal cell', 'Spiny']",0.91577,,,,2019-02-02,159.56,0.48121,"Dendrites, Soma, Axon",954.686,['Control'],1.0234,18901.0,Male,1019.06,22624.7,63,26.0,Not Reported,26.0,Not Reported,119.0,247.0,9.0,102565,H16-06-007-01-07-02_572837189_m,,oil,Vaa3D.swc,0.419591,1298.72,"Dendrites Complete, Axon Incomplete",1.90315,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-06-007-01-07-02_572837189_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,982.954,human,biocytin,Not applicable,34536.6,2019-04-08,5588.65,471.682
16,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102566'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102566'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102566'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",84.4859,74.4164,"['neocortex', 'occipital', 'middle temporal gyrus', 'layer 2-3', 'right']",13.0,"['principal cell', 'Spiny']",0.884661,,,,2019-02-02,122.26,0.565639,"Dendrites, Soma, Axon",462.664,['Control'],1.03019,11116.0,Male,599.374,13289.0,63,26.0,Not Reported,26.0,Not Reported,75.0,158.0,8.0,102566,H16-06-007-01-07-03_709264598_m,,oil,Vaa3D.swc,0.512882,673.966,"Dendrites Complete, Axon Incomplete",1.98466,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-06-007-01-07-03_709264598_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,478.632,human,biocytin,Not applicable,23688.5,2019-04-08,4846.78,509.651
17,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102567'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102567'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102567'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",83.4513,66.7669,"['neocortex', 'occipital', 'middle temporal gyrus', 'layer 2-3', 'right']",9.0,"['principal cell', 'Spiny']",0.92248,,,,2019-02-02,124.11,0.538149,"Dendrites, Soma, Axon",459.963,['Control'],1.01825,7088.0,Female,509.929,8741.93,63,48.0,Not Reported,48.0,Not Reported,53.0,112.0,6.0,102567,H16-06-009-01-01-03-05_673459567_m,,oil,Vaa3D.swc,0.489046,645.009,"Dendrites Complete, Axon Incomplete",1.94334,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-06-009-01-01-03-05_673459567_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,532.239,human,biocytin,Not applicable,14864.4,2019-04-08,2485.87,430.644
18,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102568'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102568'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102568'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",78.2061,52.8915,"['neocortex', 'occipital', 'middle temporal gyrus', 'layer 2-3', 'right']",10.0,"['principal cell', 'Spiny']",0.893391,,,,2019-02-02,98.6,0.65881,"Dendrites, Soma, Axon",437.019,['Control'],1.02884,6569.0,Female,509.58,7695.01,63,48.0,Not Reported,48.0,Not Reported,42.0,93.0,9.0,102568,H16-06-009-01-01-15-01_722014861_m,,oil,Vaa3D.swc,0.391351,513.452,"Dendrites Complete, Axon Incomplete",1.93827,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-06-009-01-01-15-01_722014861_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,675.409,human,biocytin,Not applicable,16051.3,2019-04-08,2930.85,387.561
19,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102569'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102569'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102569'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",78.773,79.63,"['neocortex', 'occipital', 'middle temporal gyrus', 'layer 2-3', 'right']",16.0,"['principal cell', 'Spiny']",0.909496,,,,2019-02-02,129.88,0.605861,"Dendrites, Soma, Axon",1079.54,['Control'],1.02085,7486.0,Female,1070.1,9281.26,63,48.0,Not Reported,48.0,Not Reported,48.0,102.0,6.0,102569,H16-06-009-01-02-03-01_681603066_m,,oil,Vaa3D.swc,0.660289,1141.14,"Dendrites Incomplete, Axon Incomplete",1.83313,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-06-009-01-02-03-01_681603066_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,742.06,human,biocytin,Not applicable,17836.2,2019-04-08,3577.76,458.999
20,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102570'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102570'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102570'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",81.8484,67.7272,"['neocortex', 'occipital', 'middle temporal gyrus', 'layer 2-3', 'right']",14.0,"['principal cell', 'Spiny']",0.900741,,,,2019-02-02,119.13,1.19723,"Dendrites, Soma, Axon",920.226,['Control'],1.02649,10278.0,Female,899.799,12202.9,63,48.0,Not Reported,48.0,Not Reported,51.0,110.0,8.0,102570,H16-06-009-01-02-05-01_671465753_m,,oil,Vaa3D.swc,0.549883,1061.01,"Dendrites Incomplete, Axon Incomplete",1.99965,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-06-009-01-02-05-01_671465753_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,796.631,human,biocytin,Not applicable,46271.3,2019-04-08,18000.3,596.867
21,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102571'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102571'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102571'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",70.7228,67.0198,"['neocortex', 'occipital', 'middle temporal gyrus', 'layer 2-3', 'right']",12.0,"['principal cell', 'Spiny']",0.850443,,,,2019-02-02,187.47,0.640999,"Dendrites, Soma, Axon",596.093,['Control'],1.04357,18078.0,Female,739.12,20908.0,63,24.0,Not Reported,24.0,Not Reported,100.0,208.0,8.0,102571,H16-06-011-01-01-10-02_712564571_m,,oil,Vaa3D.swc,0.438662,866.469,"Dendrites Complete, Axon Incomplete",1.99149,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-06-011-01-01-10-02_712564571_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,841.593,human,biocytin,Not applicable,42154.4,2019-04-08,10911.4,676.239
22,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102572'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102572'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102572'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",70.8888,63.5694,"['neocortex', 'occipital', 'middle temporal gyrus', 'layer 2-3', 'right']",15.0,"['principal cell', 'Spiny']",0.902728,,,,2019-02-02,136.18,0.709047,"Dendrites, Soma, Axon",500.463,['Control'],1.02633,12711.0,Female,588.11,16003.6,63,24.0,Not Reported,24.0,Not Reported,94.0,195.0,7.0,102572,H16-06-011-01-01-10-04_702516390_m,,oil,Vaa3D.swc,0.50249,894.479,"Dendrites Complete, Axon Incomplete",1.87377,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-06-011-01-01-10-04_702516390_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,826.551,human,biocytin,Not applicable,37675.6,2019-04-08,9665.06,462.342
23,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102573'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102573'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102573'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",75.3732,66.3083,"['neocortex', 'occipital', 'middle temporal gyrus', 'layer 2-3', 'right']",16.0,"['interneuron', 'Aspiny']",0.92348,,,,2019-02-02,84.62,0.299145,"Dendrites, Soma, Axon",454.047,['Control'],1.01889,15897.0,Female,624.389,18892.4,63,34.0,Not Reported,34.0,Not Reported,128.0,261.0,5.0,102573,H16-06-013-11-16-01_687434349_m,,oil,Vaa3D.swc,0.512077,875.646,"Dendrites Moderate, Axon Incomplete",1.99605,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-06-013-11-16-01_687434349_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,640.925,human,biocytin,Not applicable,17788.6,2019-04-08,1747.8,651.457
24,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102574'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102574'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102574'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",76.5418,59.0678,"['neocortex', 'occipital', 'middle temporal gyrus', 'layer 2-3', 'right']",11.0,"['principal cell', 'Spiny']",0.926007,,,,2019-02-02,93.54,0.458001,"Dendrites, Soma, Axon",943.359,['Control'],1.01914,7805.0,Female,1035.05,9108.98,63,34.0,Not Reported,34.0,Not Reported,43.0,91.0,5.0,102574,H16-06-013-11-16-02_689123605_m,,oil,Vaa3D.swc,0.568022,994.573,"Dendrites Complete, Axon Incomplete",1.91299,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-06-013-11-16-02_689123605_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,422.475,human,biocytin,Not applicable,13191.4,2019-04-08,1980.01,421.28
